model,dataset,batch_size,original_top1,quantized_top1,original_top5,quantized_top5,bits,mlp_scaler,cnn_scaler,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,orginal_sparsity,quantized_sparsity,retain_rate,fusion,see,similarity,num_classes,subset_class_names,max_kl_dist,avg_kl_dist
resnet20,CIFAR100,256,0.493,0.486,0.749,0.749,4,1.16,1.16,1,1,False,,0.1,0.0,0.2377,0.25,False,0,1,10,"['possum', 'rabbit', 'raccoon', 'bear', 'beaver', 'kangaroo', 'camel', 'squirrel', 'cattle', 'porcupine']",1.3385017935549222,0.5781571656801886
resnet20,CIFAR100,256,0.721,0.72,0.947,0.937,4,1.16,1.16,1,1,False,,0.1,0.0,0.2291,0.25,False,0,0,10,"['apple', 'beaver', 'keyboard', 'sea', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,67.92920364620075
resnet20,CIFAR100,256,0.719,0.704,0.939,0.931,4,1.16,1.16,1,1,False,,0.1,0.0,0.2343,0.25,False,0,1,10,"['house', 'rocket', 'bridge', 'skyscraper', 'bus', 'castle', 'streetcar', 'tank', 'tractor', 'train']",7.993174372913189,1.7502029910842503
resnet20,CIFAR100,256,0.735,0.749,0.944,0.936,4,1.16,1.16,1,1,False,,0.1,0.0,0.234,0.25,False,0,0,10,"['apple', 'keyboard', 'sea', 'cattle', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,69.16238277467286
resnet20,CIFAR100,256,0.486,0.485,0.754,0.75,4,1.16,1.16,1,1,False,,0.1,0.0,0.2377,0.25,False,0,1,10,"['possum', 'rabbit', 'raccoon', 'beaver', 'kangaroo', 'shrew', 'camel', 'squirrel', 'mouse', 'porcupine']",1.4233814839308776,0.5284303713018493
resnet20,CIFAR100,256,0.759,0.757,0.955,0.952,4,1.16,1.16,1,1,False,,0.1,0.0,0.2333,0.25,False,0,0,10,"['apple', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'tiger', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,70.85315364747117
resnet20,CIFAR100,256,0.708,0.688,0.925,0.92,4,1.16,1.16,1,1,False,,0.1,0.0,0.2334,0.25,False,0,1,10,"['aquarium_fish', 'rose', 'bee', 'butterfly', 'sunflower', 'sweet_pepper', 'caterpillar', 'orchid', 'tulip', 'poppy']",6.051047578277625,1.9297738601035155
resnet20,CIFAR100,256,0.763,0.76,0.953,0.948,4,1.16,1.16,1,1,False,,0.1,0.0,0.2325,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,73.38938089289127
resnet20,CIFAR100,256,0.493,0.486,0.749,0.749,4,1.16,1.16,1,1,False,,0.1,0.0,0.2377,0.25,False,0,1,10,"['possum', 'rabbit', 'raccoon', 'bear', 'beaver', 'kangaroo', 'camel', 'squirrel', 'cattle', 'porcupine']",1.3385017935549222,0.5781571656801886
resnet20,CIFAR100,256,0.751,0.741,0.947,0.942,4,1.16,1.16,1,1,False,,0.1,0.0,0.2364,0.25,False,0,0,10,"['apple', 'fox', 'keyboard', 'sea', 'mountain', 'oak_tree', 'orange', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,71.28185632469543
resnet20,CIFAR100,256,0.579,0.574,0.841,0.828,4,1.16,1.16,1,1,False,,0.1,0.0,0.235,0.25,False,0,1,10,"['bee', 'beetle', 'lizard', 'snail', 'butterfly', 'spider', 'lobster', 'caterpillar', 'mushroom', 'crab']",1.023288406760112,0.42428484149172874
resnet20,CIFAR100,256,0.73,0.75,0.941,0.941,4,1.16,1.16,1,1,False,,0.1,0.0,0.2356,0.25,False,0,0,10,"['apple', 'keyboard', 'shark', 'mountain', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,70.98291672463468
resnet20,CIFAR100,256,0.719,0.704,0.939,0.931,4,1.16,1.16,1,1,False,,0.1,0.0,0.2343,0.25,False,0,1,10,"['house', 'rocket', 'bridge', 'skyscraper', 'bus', 'streetcar', 'castle', 'tank', 'tractor', 'train']",7.993174372913189,1.75020299108425
resnet20,CIFAR100,256,0.762,0.759,0.951,0.95,4,1.16,1.16,1,1,False,,0.1,0.0,0.2312,0.25,False,0,0,10,"['apple', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'cup', 'wardrobe']",192.25317582671377,67.35152737279088
resnet20,CIFAR100,256,0.71,0.712,0.948,0.942,4,1.16,1.16,1,1,False,,0.1,0.0,0.232,0.25,False,0,1,10,"['willow_tree', 'forest', 'road', 'sea', 'mountain', 'oak_tree', 'cloud', 'palm_tree', 'pine_tree', 'plain']",6.134205435884685,2.2982349564769766
resnet20,CIFAR100,256,0.745,0.76,0.955,0.952,4,1.16,1.16,1,1,False,,0.1,0.0,0.2376,0.25,False,0,0,10,"['apple', 'keyboard', 'sea', 'oak_tree', 'orange', 'tank', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,68.0247641424082
resnet20,CIFAR100,256,0.624,0.622,0.864,0.858,4,1.16,1.16,1,1,False,,0.1,0.0,0.2312,0.25,False,0,1,10,"['bed', 'lamp', 'bicycle', 'bottle', 'bowl', 'can', 'table', 'clock', 'couch', 'cup']",6.644042948640921,1.9315162233761511
resnet20,CIFAR100,256,0.732,0.713,0.948,0.946,4,1.16,1.16,1,1,False,,0.1,0.0,0.2333,0.25,False,0,0,10,"['apple', 'baby', 'sea', 'keyboard', 'oak_tree', 'orange', 'poppy', 'pickup_truck', 'plate', 'wardrobe']",192.25317582671377,65.9367978379877
resnet20,CIFAR100,256,0.668,0.674,0.895,0.895,4,1.16,1.16,1,1,False,,0.1,0.0,0.232,0.25,False,0,1,10,"['bed', 'bicycle', 'lamp', 'lawn_mower', 'boy', 'motorcycle', 'table', 'telephone', 'television', 'couch']",7.3148195901587005,2.107963247967088
resnet20,CIFAR100,256,0.778,0.775,0.962,0.959,4,1.16,1.16,1,1,False,,0.1,0.0,0.232,0.25,False,0,0,10,"['apple', 'sea', 'keyboard', 'mountain', 'oak_tree', 'orange', 'chair', 'poppy', 'pickup_truck', 'wardrobe']",192.25317582671377,73.30075509348308
resnet20,CIFAR100,256,0.692,0.69,0.885,0.886,4,1.16,1.16,1,1,False,,0.1,0.0,0.2336,0.25,False,0,1,10,"['bed', 'lamp', 'bottle', 'can', 'chair', 'table', 'telephone', 'television', 'couch', 'wardrobe']",11.865977804713532,2.961070382879816
