model,dataset,batch_size,original_top1,subset_top1,all_top1,original_top5,subset_top5,all_top5,bits,mlp_scalar,cnn_scalar,mlp_percentile,cnn_percentile,stochastic,regularizer,lambda,original_sparsity,subset_sparsity,all_sparsity,retain_rate,fusion,seed,similar,num_classes,subset_names,max_kl_dist,avg_kl_dist
resnet20,CIFAR100,256,0.635,0.597,0.604,0.857,0.846,0.852,4,1.16,1.16,1,1,False,,0.1,0.0,0.2383,0.2387,0.25,False,0,[1],10,"['rabbit', 'snail', 'skunk', 'television', 'tulip', 'bed', 'squirrel', 'rose', 'orchid', 'orange']",110.26435383564885,19.720672231211385
resnet20,CIFAR100,256,0.624,0.613,0.621,0.864,0.862,0.864,4,1.16,1.16,1,1,False,,0.1,0.0,0.236,0.2318,0.25,False,0,[1],10,"['girl', 'tank', 'hamster', 'chimpanzee', 'pine_tree', 'otter', 'cockroach', 'lawn_mower', 'lamp', 'mushroom']",28.176982164437586,8.617757142576638
resnet20,CIFAR100,256,0.656,0.66,0.651,0.899,0.901,0.898,4,1.16,1.16,1,1,False,,0.1,0.0,0.2347,0.2333,0.25,False,0,[1],10,"['bicycle', 'bridge', 'tank', 'baby', 'woman', 'orange', 'forest', 'house', 'hamster', 'crocodile']",117.82261880106115,18.537576830266776
resnet20,CIFAR100,256,0.641,0.63,0.629,0.858,0.857,0.864,4,1.16,1.16,1,1,False,,0.1,0.0,0.239,0.2448,0.25,False,0,[1],10,"['lizard', 'kangaroo', 'plain', 'crocodile', 'road', 'sea', 'shark', 'lamp', 'cloud', 'pear']",35.753418034711245,10.051798717111492
resnet20,CIFAR100,256,0.615,0.62,0.614,0.889,0.885,0.88,4,1.16,1.16,1,1,False,,0.1,0.0,0.2294,0.2314,0.25,False,0,[1],10,"['pine_tree', 'mushroom', 'pickup_truck', 'bridge', 'couch', 'streetcar', 'crab', 'mouse', 'beaver', 'road']",33.591964439766656,10.63366802824802
resnet20,CIFAR100,256,0.631,0.607,0.587,0.889,0.874,0.873,4,1.16,1.16,1,1,False,,0.1,0.0,0.237,0.2418,0.25,False,0,[1],10,"['mountain', 'bed', 'camel', 'lobster', 'lion', 'couch', 'orchid', 'dinosaur', 'rose', 'maple_tree']",62.244889006765014,15.033138584779397
resnet20,CIFAR100,256,0.572,0.576,0.562,0.855,0.852,0.847,4,1.16,1.16,1,1,False,,0.1,0.0,0.2324,0.232,0.25,False,0,[1],10,"['table', 'shrew', 'lamp', 'hamster', 'bowl', 'camel', 'woman', 'skyscraper', 'girl', 'kangaroo']",28.36785559976756,7.0022988535874475
resnet20,CIFAR100,256,0.655,0.67,0.66,0.905,0.898,0.896,4,1.16,1.16,1,1,False,,0.1,0.0,0.2331,0.2376,0.25,False,0,[1],10,"['pine_tree', 'telephone', 'sweet_pepper', 'whale', 'keyboard', 'bus', 'hamster', 'mouse', 'fox', 'palm_tree']",59.91125828035945,20.50590416860354
resnet20,CIFAR100,256,0.568,0.569,0.548,0.875,0.873,0.867,4,1.16,1.16,1,1,False,,0.1,0.0,0.2344,0.2323,0.25,False,0,[1],10,"['girl', 'bus', 'bear', 'bed', 'oak_tree', 'man', 'aquarium_fish', 'bridge', 'turtle', 'orange']",157.78216292581618,26.995480751124
resnet20,CIFAR100,256,0.635,0.641,0.627,0.858,0.856,0.853,4,1.16,1.16,1,1,False,,0.1,0.0,0.236,0.2351,0.25,False,0,[1],10,"['skyscraper', 'camel', 'possum', 'bee', 'tank', 'bowl', 'wolf', 'chair', 'raccoon', 'shark']",44.25240307176139,12.727660072692304
